seconds	speed	acc_on	acc_active	acc_gap_setting	acc_set_speed	acc_dist	gps_lat	gps_long	gps_heading	vsl_last_update	vsl_speed	vsl_mode
58529.684	12.42	1	1	2	15.20	24.5	37.850720166667	-122.29947850000	169.2	3	40	1
58529.734	12.42	1	1	2	15.20	24.5	37.850698166667	-122.29947316667	169.2	3	40	1
58529.784	12.39	1	1	2	15.20	24.5	37.850698166667	-122.29947316667	169.2	3	40	1
58529.833	12.39	1	1	2	15.20	24.5	37.850698166667	-122.29947316667	169.2	3	40	1
58529.885	12.39	1	1	2	15.20	24.6	37.850698166667	-122.29947316667	169.2	3	40	1
58529.934	12.39	1	1	2	15.20	24.6	37.850676333333	-122.29946783333	169.1	3	40	1
58529.984	12.39	1	1	2	15.20	24.6	37.850676333333	-122.29946783333	169.1	3	40	1
58530.033	12.39	1	1	2	15.20	24.6	37.850676333333	-122.29946783333	169.1	3	40	1
58530.085	12.42	1	1	2	15.20	24.6	37.850676333333	-122.29946783333	169.1	3	40	1
58530.134	12.42	1	1	2	15.20	24.6	37.850654333333	-122.29946266667	169.5	3	40	1
58530.184	12.39	1	1	2	15.20	24.9	37.850654333333	-122.29946266667	169.5	3	40	1
58530.233	12.39	1	1	2	15.20	24.9	37.850654333333	-122.29946266667	169.5	3	40	1
58530.285	12.39	1	1	2	15.20	25	37.850654333333	-122.29946266667	169.5	3	40	1
58530.334	12.39	1	1	2	15.20	25	37.850632333333	-122.29945750000	169.5	3	40	1
58530.384	12.39	1	1	2	15.20	25	37.850632333333	-122.29945750000	169.5	3	40	1
58530.433	12.39	1	1	2	15.20	25	37.850632333333	-122.29945750000	169.5	3	40	1
58530.485	12.36	1	1	2	15.20	25.1	37.850632333333	-122.29945750000	169.5	3	40	1
58530.534	12.36	1	1	2	15.20	25.1	37.850610333333	-122.29945233333	169.5	3	40	1
58530.584	12.42	1	1	2	15.20	25.200001	37.850610333333	-122.29945233333	169.5	3	40	1
58530.633	12.42	1	1	2	15.20	25.200001	37.850610333333	-122.29945233333	169.5	3	40	1
58530.685	12.39	1	1	2	15.20	25.299999	37.850610333333	-122.29945233333	169.5	3	40	1
58530.734	12.39	1	1	2	15.20	25.299999	37.850588333333	-122.29944733333	169.8	3	40	1
58530.784	12.44	1	1	2	15.20	25.299999	37.850588333333	-122.29944733333	169.8	3	40	1
58530.834	12.44	1	1	2	15.20	25.299999	37.850588333333	-122.29944733333	169.8	3	40	1
58530.885	12.36	1	1	2	15.20	25.299999	37.850588333333	-122.29944733333	169.8	3	40	1
58530.934	12.36	1	1	2	15.20	25.299999	37.850566333333	-122.29944233333	169.8	3	40	1
58530.984	12.44	1	1	2	15.20	25.5	37.850566333333	-122.29944233333	169.8	3	40	1
58531.033	12.44	1	1	2	15.20	25.5	37.850566333333	-122.29944233333	169.8	3	40	1
58531.086	12.44	1	1	2	15.20	25.6	37.850566333333	-122.29944233333	169.8	3	40	1
58531.135	12.44	1	1	2	15.20	25.6	37.850544166667	-122.29943716667	169.6	3	40	1
58531.185	12.47	1	1	2	15.20	25.6	37.850544166667	-122.29943716667	169.6	3	40	1
58531.234	12.47	1	1	2	15.20	25.6	37.850544166667	-122.29943716667	169.6	3	40	1
58531.286	12.44	1	1	2	15.20	25.700001	37.850544166667	-122.29943716667	169.6	3	40	1
58531.334	12.44	1	1	2	15.20	25.700001	37.850522166667	-122.29943200000	169.5	3	40	1
58531.385	12.47	1	1	2	15.20	25.700001	37.850522166667	-122.29943200000	169.5	3	40	1
58531.434	12.47	1	1	2	15.20	25.700001	37.850522166667	-122.29943200000	169.5	8	40	1
58531.486	12.47	1	1	2	15.20	25.799999	37.850522166667	-122.29943200000	169.5	8	40	1
58531.535	12.47	1	1	2	15.20	25.799999	37.850499833333	-122.29942700000	170.0	8	40	1
